#{"t_start": 1658275058.4206622, "env_id": "DeepRMSCA-v0"}
r,l,t,service_blocking_rate_since_reset,bit_rate_blocking_rate_since_reset
48,50,21.696196,0.02,0.014437242192103713
22,50,21.958257,0.28,0.271280276816609
4,50,22.310336,0.46,0.4841781874039939
-14,50,22.552392,0.64,0.6468890314304041
-22,50,22.797449,0.72,0.7471686562595653
-22,50,23.0225,0.72,0.7401500938086304
-38,50,23.24755,0.88,0.8920655316415034
-36,50,23.4626,0.86,0.873624541513838
-26,50,23.694657,0.76,0.7657807308970099
-28,50,23.918709,0.78,0.7771409305461902
-36,50,24.162765,0.86,0.8729096989966555
-44,50,24.379813,0.94,0.9531689041523571
-42,50,24.587006,0.92,0.9103978602474089
-44,50,24.77905,0.94,0.9276609305289993
-36,50,25.001607,0.86,0.8406072106261859
-34,50,25.19665,0.84,0.8202880400751409
-36,50,25.423563,0.86,0.849970640046976
-36,50,25.623608,0.86,0.8765109441359032
-36,50,25.845662,0.86,0.8692436974789916
-32,50,26.048709,0.82,0.8271954674220963
-34,50,27.173499,0.84,0.8418871533312081
-36,50,27.355541,0.86,0.8745874587458746
-38,50,27.558588,0.88,0.8862615983238551
-44,50,27.753632,0.94,0.9340151765094028
-38,50,27.983686,0.88,0.8822564775336176
-36,50,28.167727,0.86,0.8749599230522603
-48,50,28.358771,0.98,0.9819605173587475
-42,50,28.545814,0.92,0.9538316582914573
-40,50,28.758977,0.9,0.8955272608553706
-38,50,28.942018,0.88,0.8552922590837283
-38,50,29.148065,0.88,0.8856661045531198
-42,50,29.334108,0.92,0.9402351404310908
-46,50,29.529156,0.96,0.9827531140210796
-40,50,29.710198,0.9,0.8751159196290572
-36,50,29.915244,0.86,0.8804243008678881
-44,50,30.095286,0.94,0.9490114464099896
-42,50,30.295872,0.92,0.8982035928143712
-44,50,30.493917,0.94,0.9453053783044667
-30,50,30.705966,0.8,0.7989886219974716
-36,50,30.904462,0.86,0.8514357053682896
-30,50,31.361567,0.8,0.7978142076502732
-40,50,31.566618,0.9,0.9265010351966874
-38,50,31.776666,0.88,0.8918238993710692
-28,50,31.964907,0.78,0.7733333333333333
-44,50,32.163459,0.94,0.9150881776616591
-34,50,32.3445,0.84,0.8346709470304976
-44,50,32.544547,0.94,0.940771349862259
-36,50,32.72959,0.86,0.8598097921803451
-36,50,32.933635,0.86,0.8704215618521078
-30,50,33.119677,0.8,0.8066914498141264
-42,50,33.317723,0.92,0.9242000621310966
-44,50,33.492763,0.94,0.9597681554722127
-34,50,33.690813,0.84,0.8409378960709759
-42,50,33.872853,0.92,0.9010644959298685
-40,50,34.072899,0.9,0.9109431482090042
-40,50,34.25294,0.9,0.9203675344563553
-40,50,34.464989,0.9,0.8797364085667215
-42,50,34.640031,0.92,0.9226227470478559
-38,50,34.844075,0.88,0.8833443489755453
-30,50,35.029118,0.8,0.8345437322387117
-34,50,35.226163,0.84,0.87200259235256
-42,50,35.598786,0.92,0.9237668161434978
-34,50,35.796217,0.84,0.8336501901140685
-36,50,35.977257,0.86,0.884732052578362
-42,50,36.1714,0.92,0.9181007010834926
-42,50,36.34944,0.92,0.9121730707135938
-28,50,36.551684,0.78,0.7564461012736875
-38,50,36.740728,0.88,0.9026194144838212
-44,50,36.938235,0.94,0.9261116683383483
-40,50,37.117149,0.9,0.9
-42,50,37.315194,0.92,0.9391500321957501
-34,50,37.497236,0.84,0.851010101010101
-42,50,37.706283,0.92,0.9152037098376946
-34,50,37.893328,0.84,0.8559748427672956
-38,50,38.091374,0.88,0.8803245436105477
-44,50,38.270414,0.94,0.9341637010676157
-44,50,38.46646,0.94,0.9468760441029068
-40,50,38.646015,0.9,0.8878477306002929
-36,50,38.858063,0.86,0.897007874015748
-44,50,39.032024,0.94,0.9344936708860759
-44,50,39.235575,0.94,0.9318028359216746
-42,50,39.621663,0.92,0.901462174189447
-30,50,39.82271,0.8,0.8191554467564259
-44,50,39.996764,0.94,0.9398744631648497
-42,50,40.19381,0.92,0.9078651685393259
-30,50,40.376851,0.8,0.7822423849643552
-38,50,40.577898,0.88,0.8747273293861015
-38,50,40.763945,0.88,0.8808441558441559
-34,50,40.966991,0.84,0.8280193236714976
-44,50,41.14096,0.94,0.9374185136897001
-34,50,41.342006,0.84,0.8703646950658903
-38,50,41.523047,0.88,0.8859842519685039
-38,50,41.731098,0.88,0.8812519177661859
-40,50,41.912525,0.9,0.8947916666666667
-38,50,42.115075,0.88,0.8728289667353547
-38,50,42.296117,0.88,0.8776529338327091
-36,50,42.498163,0.86,0.8567783094098883
-36,50,42.678204,0.86,0.832572298325723
-44,50,42.872194,0.94,0.9321533923303835
-28,50,43.070239,0.78,0.7918263090676884
-36,50,43.269285,0.86,0.853325046612803
-38,50,43.451327,0.88,0.9137449581135588
-34,50,43.856605,0.84,0.8373925501432665
-30,50,44.03765,0.8,0.7667005764665988
-38,50,44.231199,0.88,0.8862179487179487
-36,50,44.411241,0.86,0.8555522118567559
-28,50,44.632293,0.78,0.780952380952381
-44,50,44.815332,0.94,0.9324459234608985
-28,50,45.027385,0.78,0.8192654639175257
-42,50,45.202425,0.92,0.9235933503836317
-34,50,45.40347,0.84,0.8401982037782595
-34,50,45.585511,0.84,0.8167388167388168
-32,50,45.789562,0.82,0.8156028368794326
-30,50,45.982606,0.8,0.7673745173745173
-42,50,46.175651,0.92,0.9182677645623666
-40,50,46.352691,0.9,0.9125248508946322
-36,50,46.553739,0.86,0.8432835820895522
-32,50,46.741783,0.82,0.7930232558139535
