#{"t_start": 1658865452.5116673, "env_id": "DeepRMSCA-v0"}
r,l,t,service_blocking_rate_since_reset,bit_rate_blocking_rate_since_reset
42,50,21.741821,0.08,0.10459634649381261
30,50,22.03289,0.2,0.21107266435986158
2,50,22.362963,0.48,0.4943164362519201
-12,50,22.61402,0.62,0.6327774214239897
-28,50,22.852075,0.78,0.7817569635751453
-38,50,23.059134,0.88,0.9024390243902439
-36,50,23.302795,0.86,0.8779312560231288
-32,50,23.520845,0.82,0.8106035345115038
-30,50,23.757899,0.8,0.8225913621262458
-34,50,23.966947,0.84,0.8523263654753878
-30,50,24.214003,0.8,0.787777439951353
-26,50,24.46206,0.76,0.7873868248517015
-34,50,24.671108,0.84,0.8264794383149449
-40,50,24.858152,0.9,0.904397705544933
-22,50,25.084203,0.72,0.7498418722327641
-36,50,25.276247,0.86,0.8804007514088916
-38,50,25.481294,0.88,0.8901937756899589
-38,50,25.667336,0.88,0.847108787977785
-32,50,25.868382,0.82,0.8460504201680672
-36,50,26.052425,0.86,0.879760780610639
-28,50,27.032266,0.78,0.7768568696206567
-28,50,27.22031,0.78,0.7666666666666667
-40,50,27.416354,0.9,0.901227177491769
-28,50,27.622401,0.78,0.766083800725833
-32,50,27.832449,0.82,0.8497868153492949
-28,50,28.038496,0.78,0.774286630330234
-42,50,28.253546,0.92,0.9186521443158612
-36,50,28.44659,0.86,0.8530150753768844
-38,50,28.656638,0.88,0.8938948743062357
-38,50,28.857684,0.88,0.8966824644549763
-34,50,29.063734,0.84,0.8033726812816189
-32,50,29.253778,0.82,0.8115610711952972
-38,50,29.457824,0.88,0.845736186521878
-40,50,29.641866,0.9,0.897063369397218
-32,50,29.845468,0.82,0.8235294117647058
-28,50,30.038512,0.78,0.8182448838015955
-30,50,30.238558,0.8,0.7856917743460448
-42,50,30.420554,0.92,0.8948647827408083
-48,50,30.607597,0.98,0.9816687737041719
-36,50,30.786638,0.86,0.8445692883895131
-36,50,31.180729,0.86,0.8521375763420123
-34,50,31.36377,0.84,0.8681849551414769
-38,50,31.557815,0.88,0.8858490566037736
-32,50,31.745044,0.82,0.8093023255813954
-36,50,31.943035,0.86,0.8497713912475506
-42,50,32.124076,0.92,0.9284109149277688
-44,50,32.326122,0.94,0.9321625344352618
-36,50,32.509163,0.86,0.8569918985558295
-40,50,32.709038,0.9,0.919488597097443
-42,50,32.891079,0.92,0.9089219330855018
-38,50,33.093126,0.88,0.8651755203479341
-40,50,33.273167,0.9,0.9093078758949881
-36,50,33.466211,0.86,0.8878326996197718
-30,50,33.660257,0.8,0.8096430807764559
-38,50,33.862303,0.88,0.9089714097929674
-36,50,34.061028,0.86,0.8885145482388974
-44,50,34.258073,0.94,0.957166392092257
-42,50,34.430128,0.92,0.9220012430080795
-28,50,34.63968,0.78,0.7881692002643754
-34,50,34.822722,0.84,0.8070729396905589
-42,50,35.036772,0.92,0.9144523655217109
-40,50,35.411782,0.9,0.9224855861627163
-28,50,35.616832,0.78,0.800063371356147
-34,50,35.798873,0.84,0.8099089989888777
-32,50,36.013922,0.82,0.7848948374760994
-36,50,36.199259,0.86,0.851469163706813
-34,50,36.414306,0.84,0.8195091643367506
-38,50,36.601349,0.88,0.8841294298921417
-34,50,36.810397,0.84,0.8110999665663657
-32,50,37.007442,0.82,0.8252459016393443
-42,50,37.209488,0.92,0.9159690920798454
-34,50,37.402777,0.84,0.816017316017316
-36,50,37.645832,0.86,0.8569062603511096
-26,50,37.85488,0.76,0.7757861635220126
-34,50,38.089934,0.84,0.848208248816768
-40,50,38.308984,0.9,0.9048042704626335
-38,50,38.536036,0.88,0.8727029736050785
-40,50,38.740083,0.9,0.8975109809663251
-40,50,38.94813,0.9,0.8907086614173229
-40,50,39.139745,0.9,0.8930379746835443
-42,50,39.363797,0.92,0.9149223497636731
-36,50,39.757886,0.86,0.8715829624920534
-38,50,39.973936,0.88,0.914014687882497
-42,50,40.178982,0.92,0.9266600594648167
-28,50,40.393035,0.78,0.7646869983948635
-38,50,40.567075,0.88,0.8347375243033053
-32,50,40.770121,0.82,0.8033655344344033
-46,50,40.949162,0.96,0.9594155844155844
-44,50,41.145211,0.94,0.9462157809983897
-40,50,41.329254,0.9,0.8699478487614081
-34,50,41.527299,0.84,0.8461538461538461
-44,50,41.70434,0.94,0.9511811023622048
-30,50,41.913956,0.8,0.790119668610003
-32,50,42.113002,0.82,0.8493055555555555
-44,50,42.312052,0.94,0.9414188990285546
-38,50,42.502095,0.88,0.8782771535580525
-26,50,42.713144,0.76,0.7891547049441786
-32,50,42.909189,0.82,0.836834094368341
-44,50,43.106234,0.94,0.9537856440511308
-28,50,43.297278,0.78,0.7758620689655172
-40,50,43.494324,0.9,0.8682411435674332
-38,50,43.670362,0.88,0.857586099906919
-30,50,44.114464,0.8,0.8019340974212035
-42,50,44.286504,0.92,0.9389623601220752
-34,50,44.499552,0.84,0.875
-36,50,44.691597,0.86,0.8317785133915137
-30,50,44.897644,0.8,0.7876190476190477
-30,50,45.10069,0.8,0.7687188019966722
-36,50,45.301737,0.86,0.8327963917525774
-30,50,45.487779,0.8,0.8148976982097187
-42,50,45.684828,0.92,0.9117373799938061
-36,50,45.881874,0.86,0.8582972582972583
-36,50,46.093921,0.86,0.8946808510638298
-28,50,46.315973,0.78,0.7873230373230373
-30,50,46.54349,0.8,0.7929246721561451
-40,50,46.734537,0.9,0.9314115308151093
-34,50,46.942587,0.84,0.8380921479558728
-42,50,47.119627,0.92,0.9395348837209302
-36,50,47.327675,0.86,0.874692118226601
-38,50,47.503715,0.88,0.8884310618066561
-40,50,47.709762,0.9,0.8820694087403599
-42,50,47.887802,0.92,0.9130890052356021
-40,50,48.292896,0.9,0.9057971014492754
-36,50,48.478938,0.86,0.8553013213019658
-22,50,48.702,0.72,0.7283428916389979
-24,50,48.904047,0.74,0.7286356821589205
-22,50,49.122097,0.72,0.6827903915761764
-26,50,49.331144,0.76,0.7600889736256753
-32,50,49.546194,0.82,0.7971484121840571
-34,50,49.746239,0.84,0.7999339716077913
-22,50,49.97029,0.72,0.6648096564531105
-38,50,50.158339,0.88,0.8762722646310432
-48,50,50.378389,0.98,0.9853222718570517
-26,50,50.573646,0.76,0.7283950617283951
-34,50,50.780201,0.84,0.843671679197995
-40,50,50.971245,0.9,0.9078520441271901
-42,50,51.178292,0.92,0.9258054018874065
-34,50,51.362335,0.84,0.85952
-40,50,51.557065,0.9,0.9038089089735313
-34,50,51.739922,0.84,0.8134730538922156
-20,50,51.95097,0.7,0.7300097118808676
-34,50,52.140013,0.84,0.8485217921365438
-30,50,52.342058,0.8,0.7716316440049443
-12,50,52.731148,0.62,0.5765102729224164
-28,50,52.933194,0.78,0.7263157894736842
-28,50,53.119237,0.78,0.7923441734417345
-26,50,53.339287,0.76,0.7908794788273615
-32,50,53.530331,0.82,0.8249248245907117
-38,50,53.741379,0.88,0.8439615247595298
-14,50,53.950427,0.64,0.6592592592592592
-28,50,54.186481,0.78,0.7985401459854015
-34,50,54.379525,0.84,0.8220447284345048
-30,50,54.605577,0.8,0.8281002220107834
-36,50,54.819626,0.86,0.8449008498583569
-24,50,55.044677,0.74,0.7395701643489254
-32,50,55.265821,0.82,0.7963715983734752
-26,50,55.489871,0.76,0.7411691153485465
-30,50,55.704921,0.8,0.8142942583732058
-34,50,55.926797,0.84,0.8332260141661301
-24,50,56.150848,0.74,0.7802887633396108
-24,50,56.367897,0.74,0.759765625
-28,50,56.575946,0.78,0.8040149710785982
-38,50,56.788994,0.88,0.8781456953642384
-26,50,57.203088,0.76,0.7805227354099534
-38,50,57.451145,0.88,0.8745949449125081
-20,50,57.661193,0.7,0.7180887372013652
-34,50,57.885248,0.84,0.865845311430527
-22,50,58.102298,0.72,0.708656330749354
-26,50,58.32935,0.76,0.7048062015503876
-18,50,58.541398,0.68,0.6198347107438017
-36,50,58.753446,0.86,0.8425249169435216
-32,50,58.963727,0.82,0.8245842843169221
-20,50,59.189777,0.7,0.7143301212309605
-34,50,59.385821,0.84,0.8066331063073734
-32,50,59.59787,0.82,0.830739299610895
-18,50,59.801917,0.68,0.686890243902439
-24,50,60.016965,0.74,0.753030303030303
-24,50,60.227014,0.74,0.7306188925081433
-42,50,60.449691,0.92,0.9159882774340605
